City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,kangiwa,12.5521,3.8187,29.45,54,76,6.37,NG,2024-06-10 02:48:11
335,zhalantun,48.0,122.7167,24.15,40,88,4.74,CN,2024-06-10 02:48:11
336,rovnoye,50.7765,46.0509,18.24,75,2,1.94,RU,2024-06-10 02:48:11
337,magadan,59.5667,150.8,8.63,81,100,1.86,RU,2024-06-10 02:48:11
338,el granada,37.5027,-122.4694,19.57,83,100,7.72,US,2024-06-10 02:48:11
339,hemsby,52.6971,1.6918,11.66,91,100,4.15,GB,2024-06-10 02:48:12
340,atuntaqui,0.3333,-78.2167,13.18,94,78,1.51,EC,2024-06-10 02:48:12
341,zainsk,55.3195,52.0694,17.55,82,50,0.5,RU,2024-06-10 02:48:12
342,vila velha,-20.3297,-40.2925,18.97,94,0,1.03,BR,2024-06-10 02:48:12
343,hobyo,5.3505,48.5268,25.73,80,87,10.08,SO,2024-06-10 02:48:12
344,krasnoturansk,54.3186,91.5639,13.46,88,49,4.02,RU,2024-06-10 02:48:13
345,nuku'alofa,-21.1333,-175.2,26.19,65,20,5.66,TO,2024-06-10 02:48:13
346,amta,22.58,88.0083,33.96,42,64,4.12,IN,2024-06-10 02:48:13
347,argo,37.6333,22.7333,24.71,54,0,1.85,GR,2024-06-10 02:48:13
348,palikir - national government center,6.9248,158.1611,30.47,89,100,4.63,FM,2024-06-10 02:48:13
349,new norfolk,-42.7826,147.0587,11.72,52,10,1.67,AU,2024-06-10 02:48:14
350,uray,60.1247,64.7758,15.49,74,100,3.58,RU,2024-06-10 02:48:14
351,sos'va,59.1766,61.8558,13.92,90,40,1.79,RU,2024-06-10 02:48:14
352,kamez,41.3817,19.7603,20.88,83,75,1.03,AL,2024-06-10 02:48:14
353,sinjar,36.3209,41.8754,29.33,21,8,3.51,IQ,2024-06-10 02:48:14
354,la sarre,48.8002,-79.1996,4.46,96,100,6.77,CA,2024-06-10 02:48:15
355,illizi,26.4833,8.4667,30.89,8,0,4.1,DZ,2024-06-10 02:48:15
356,patrocinio,-18.9439,-46.9925,15.33,63,22,2.22,BR,2024-06-10 02:48:15
